min_voltage,peak_kw,loss_kwh,violation_rate,service,controller,scenario,ood,scale,response,base_error,ev_error,binding_constraint,committed_kwh,realized_kwh,shortfall_kwh,firm_coverage,service_completion
0.9658924854185968,3621.993394761021,707.4945873690268,0.0,0.6731254316876616,Point bunching,7,False,0.8,0.673125431687402,-0.05485601387059323,0.12549049176433075,,1019.8309859154931,1059.5579621222046,0.0,1.0,0.8889300621629859
0.9649196412848997,3688.762754972713,709.5868280273903,0.0,0.6731254316878014,Robust engineering,7,False,0.52,0.673125431687402,-0.05485601387059323,0.12549049176433075,,1180.5652173913045,1059.5579621222046,121.00725526909991,0.0,0.9278045404059408
0.9657808204383643,3629.657314427006,707.7116163065007,0.0,0.6731254316876725,BGFC,7,False,0.7678610443521957,0.673125431687402,-0.05485601387059323,0.12549049176433075,,783.0884859077998,1059.5579621222046,0.0,1.0,0.8933921519204211
0.9663998976409229,3556.556042532018,649.434121069395,0.0,1.0,Uncontrolled,8,False,0.0,0.3940693102239247,-0.07744057956043515,-0.13726004701847863,,0.0,0.0,0.0,,1.0
0.9684339486867414,3416.9527060231253,645.0166562333543,0.0,0.3940693102243097,Nominal engineering,8,False,1.0,0.3940693102239247,-0.07744057956043515,-0.13726004701847863,,1574.0869565217392,620.2993611889988,953.7875953327405,0.0,0.8109324758403065
0.9680271384775777,3444.873373324904,645.740976057891,0.0,0.39406931022440583,Point bunching,8,False,0.8,0.3940693102239247,-0.07744057956043515,-0.13726004701847863,,1019.8309859154931,620.2993611889988,399.53162472649433,0.0,0.8487459806722452
0.9674576041847486,3483.9623075473937,646.8887292520863,0.0,0.39406931022466496,Robust engineering,8,False,0.52,0.3940693102239247,-0.07744057956043515,-0.13726004701847863,,1180.5652173913045,620.2993611889988,560.2658562023057,0.0,0.9016848874369594
0.9679617662012308,3449.3600787652485,645.8647926192095,0.0,0.39406931022442604,BGFC,8,False,0.7678610443521957,0.3940693102239247,-0.07744057956043515,-0.13726004701847863,,783.0884859077998,620.2993611889988,162.78912471880108,0.0,0.8548224134456537
0.9619042226432728,4036.1855741107356,837.8230535844607,0.0,1.0,Uncontrolled,9,False,0.0,0.7996490524736802,0.04877454338876021,-0.029145965668364814,,0.0,0.0,0.0,,1.0
0.9657408657118588,3752.9012054344075,829.5235918985632,0.0,0.7996490524738075,Nominal engineering,9,False,1.0,0.7996490524736802,0.04877454338876021,-0.029145965668364814,,1574.0869565217392,1258.7171432937878,315.36981322795145,0.0,0.8839368294452625
